id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
45,hc,gaussian,3,7,,1.0,avg,98.0
45,hc,gaussian,3,7,,1.0,mean,98.0
46,hc,gaussian,3,7,,2.0,min,59.0
46,hc,gaussian,3,7,,2.0,max,77.0
46,hc,gaussian,3,7,,2.0,avg,72.0
46,hc,gaussian,3,7,,2.0,mean,73.0
47,hc,gaussian,3,7,,2.5,min,30.0
47,hc,gaussian,3,7,,2.5,max,75.0
47,hc,gaussian,3,7,,2.5,avg,59.0
47,hc,gaussian,3,7,,2.5,mean,60.0
48,hc,gaussian,4,2,,0.5,min,100.0
48,hc,gaussian,4,2,,0.5,max,100.0
48,hc,gaussian,4,2,,0.5,avg,100.0
48,hc,gaussian,4,2,,0.5,mean,100.0
49,hc,gaussian,4,2,,1.0,min,100.0
49,hc,gaussian,4,2,,1.0,max,100.0
49,hc,gaussian,4,2,,1.0,avg,100.0
49,hc,gaussian,4,2,,1.0,mean,100.0
50,hc,gaussian,4,2,,2.0,min,100.0
50,hc,gaussian,4,2,,2.0,max,100.0
50,hc,gaussian,4,2,,2.0,avg,100.0
50,hc,gaussian,4,2,,2.0,mean,100.0
51,hc,gaussian,4,2,,2.5,min,100.0
51,hc,gaussian,4,2,,2.5,max,100.0
51,hc,gaussian,4,2,,2.5,avg,100.0
51,hc,gaussian,4,2,,2.5,mean,100.0
52,hc,gaussian,4,3,,0.5,min,100.0
52,hc,gaussian,4,3,,0.5,max,100.0
52,hc,gaussian,4,3,,0.5,avg,100.0
52,hc,gaussian,4,3,,0.5,mean,100.0
53,hc,gaussian,4,3,,1.0,min,100.0
53,hc,gaussian,4,3,,1.0,max,100.0
53,hc,gaussian,4,3,,1.0,avg,100.0
53,hc,gaussian,4,3,,1.0,mean,100.0
54,hc,gaussian,4,3,,2.0,min,99.0
54,hc,gaussian,4,3,,2.0,max,100.0
54,hc,gaussian,4,3,,2.0,avg,100.0
54,hc,gaussian,4,3,,2.0,mean,100.0
55,hc,gaussian,4,3,,2.5,min,99.0
55,hc,gaussian,4,3,,2.5,max,99.0
55,hc,gaussian,4,3,,2.5,avg,99.0
55,hc,gaussian,4,3,,2.5,mean,99.0
56,hc,gaussian,4,4,,0.5,min,100.0
56,hc,gaussian,4,4,,0.5,max,100.0
56,hc,gaussian,4,4,,0.5,avg,100.0
56,hc,gaussian,4,4,,0.5,mean,100.0
57,hc,gaussian,4,4,,1.0,min,100.0
57,hc,gaussian,4,4,,1.0,max,100.0
57,hc,gaussian,4,4,,1.0,avg,100.0
57,hc,gaussian,4,4,,1.0,mean,100.0
58,hc,gaussian,4,4,,2.0,min,100.0
58,hc,gaussian,4,4,,2.0,max,100.0
58,hc,gaussian,4,4,,2.0,avg,100.0
58,hc,gaussian,4,4,,2.0,mean,100.0
59,hc,gaussian,4,4,,2.5,min,76.0
59,hc,gaussian,4,4,,2.5,max,100.0
59,hc,gaussian,4,4,,2.5,avg,99.0
59,hc,gaussian,4,4,,2.5,mean,99.0
60,hc,gaussian,4,5,,0.5,min,100.0
60,hc,gaussian,4,5,,0.5,max,100.0
60,hc,gaussian,4,5,,0.5,avg,100.0
60,hc,gaussian,4,5,,0.5,mean,100.0
61,hc,gaussian,4,5,,1.0,min,100.0
61,hc,gaussian,4,5,,1.0,max,100.0
61,hc,gaussian,4,5,,1.0,avg,100.0
61,hc,gaussian,4,5,,1.0,mean,100.0
62,hc,gaussian,4,5,,2.0,min,79.0
62,hc,gaussian,4,5,,2.0,max,100.0
62,hc,gaussian,4,5,,2.0,avg,100.0
62,hc,gaussian,4,5,,2.0,mean,100.0
63,hc,gaussian,4,5,,2.5,min,60.0
63,hc,gaussian,4,5,,2.5,max,99.0
63,hc,gaussian,4,5,,2.5,avg,98.0
63,hc,gaussian,4,5,,2.5,mean,100.0
64,hc,gaussian,4,6,,0.5,min,100.0
64,hc,gaussian,4,6,,0.5,max,100.0
64,hc,gaussian,4,6,,0.5,avg,100.0
64,hc,gaussian,4,6,,0.5,mean,100.0
65,hc,gaussian,4,6,,1.0,min,100.0
65,hc,gaussian,4,6,,1.0,max,100.0
65,hc,gaussian,4,6,,1.0,avg,100.0
65,hc,gaussian,4,6,,1.0,mean,100.0
66,hc,gaussian,4,6,,2.0,min,66.0
66,hc,gaussian,4,6,,2.0,max,89.0
66,hc,gaussian,4,6,,2.0,avg,83.0
66,hc,gaussian,4,6,,2.0,mean,84.0
67,hc,gaussian,4,6,,2.5,min,50.0
67,hc,gaussian,4,6,,2.5,max,86.0
67,hc,gaussian,4,6,,2.5,avg,83.0
67,hc,gaussian,4,6,,2.5,mean,83.0
68,hc,gaussian,4,7,,0.5,min,100.0
68,hc,gaussian,4,7,,0.5,max,100.0
68,hc,gaussian,4,7,,0.5,avg,100.0
68,hc,gaussian,4,7,,0.5,mean,100.0
69,hc,gaussian,4,7,,1.0,min,87.0
69,hc,gaussian,4,7,,1.0,max,100.0
69,hc,gaussian,4,7,,1.0,avg,100.0
69,hc,gaussian,4,7,,1.0,mean,100.0
70,hc,gaussian,4,7,,2.0,min,60.0
70,hc,gaussian,4,7,,2.0,max,96.0
70,hc,gaussian,4,7,,2.0,avg,91.0
70,hc,gaussian,4,7,,2.0,mean,86.0
71,hc,gaussian,4,7,,2.5,min,47.0
71,hc,gaussian,4,7,,2.5,max,88.0
71,hc,gaussian,4,7,,2.5,avg,83.0
71,hc,gaussian,4,7,,2.5,mean,60.0
72,hc,gaussian,5,2,,0.5,min,100.0
72,hc,gaussian,5,2,,0.5,max,100.0
72,hc,gaussian,5,2,,0.5,avg,100.0
72,hc,gaussian,5,2,,0.5,mean,100.0
73,hc,gaussian,5,2,,1.0,min,100.0
73,hc,gaussian,5,2,,1.0,max,100.0
73,hc,gaussian,5,2,,1.0,avg,100.0
73,hc,gaussian,5,2,,1.0,mean,100.0
74,hc,gaussian,5,2,,2.0,min,100.0
74,hc,gaussian,5,2,,2.0,max,100.0
74,hc,gaussian,5,2,,2.0,avg,100.0
74,hc,gaussian,5,2,,2.0,mean,100.0
75,hc,gaussian,5,2,,2.5,min,100.0
75,hc,gaussian,5,2,,2.5,max,100.0
75,hc,gaussian,5,2,,2.5,avg,100.0
75,hc,gaussian,5,2,,2.5,mean,100.0
76,hc,gaussian,5,3,,0.5,min,100.0
76,hc,gaussian,5,3,,0.5,max,100.0
76,hc,gaussian,5,3,,0.5,avg,100.0
76,hc,gaussian,5,3,,0.5,mean,100.0
77,hc,gaussian,5,3,,1.0,min,100.0
77,hc,gaussian,5,3,,1.0,max,100.0
77,hc,gaussian,5,3,,1.0,avg,100.0
77,hc,gaussian,5,3,,1.0,mean,100.0
78,hc,gaussian,5,3,,2.0,min,66.0
78,hc,gaussian,5,3,,2.0,max,98.0
78,hc,gaussian,5,3,,2.0,avg,98.0
78,hc,gaussian,5,3,,2.0,mean,98.0
