id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
44,gmm,gaussian,3,7,,0.5,uniform,100
44,gmm,gaussian,3,7,,0.5,stratified,67.1
45,gmm,gaussian,3,7,,1,random,78.7
45,gmm,gaussian,3,7,,1,kmeans++,99.4
45,gmm,gaussian,3,7,,1,hcm,99.4
45,gmm,gaussian,3,7,,1,uniform,99.4
45,gmm,gaussian,3,7,,1,stratified,84.8
46,gmm,gaussian,3,7,,2,random,68.4
46,gmm,gaussian,3,7,,2,kmeans++,87.6
46,gmm,gaussian,3,7,,2,hcm,83.3
46,gmm,gaussian,3,7,,2,uniform,77.6
46,gmm,gaussian,3,7,,2,stratified,58.2
47,gmm,gaussian,3,7,,2.5,random,68.8
47,gmm,gaussian,3,7,,2.5,kmeans++,69.3
47,gmm,gaussian,3,7,,2.5,hcm,75.3
47,gmm,gaussian,3,7,,2.5,uniform,71.5
47,gmm,gaussian,3,7,,2.5,stratified,58.5
48,gmm,gaussian,4,2,,0.5,random,100
48,gmm,gaussian,4,2,,0.5,kmeans++,100
48,gmm,gaussian,4,2,,0.5,hcm,100
48,gmm,gaussian,4,2,,0.5,uniform,100
48,gmm,gaussian,4,2,,0.5,stratified,100
49,gmm,gaussian,4,2,,1,random,100
49,gmm,gaussian,4,2,,1,kmeans++,100
49,gmm,gaussian,4,2,,1,hcm,100
49,gmm,gaussian,4,2,,1,uniform,100
49,gmm,gaussian,4,2,,1,stratified,100
50,gmm,gaussian,4,2,,2,random,100
50,gmm,gaussian,4,2,,2,kmeans++,100
50,gmm,gaussian,4,2,,2,hcm,100
50,gmm,gaussian,4,2,,2,uniform,100
50,gmm,gaussian,4,2,,2,stratified,100
51,gmm,gaussian,4,2,,2.5,random,100
51,gmm,gaussian,4,2,,2.5,kmeans++,100
51,gmm,gaussian,4,2,,2.5,hcm,100
51,gmm,gaussian,4,2,,2.5,uniform,100
51,gmm,gaussian,4,2,,2.5,stratified,100
52,gmm,gaussian,4,3,,0.5,random,100
52,gmm,gaussian,4,3,,0.5,kmeans++,100
52,gmm,gaussian,4,3,,0.5,hcm,100
52,gmm,gaussian,4,3,,0.5,uniform,100
52,gmm,gaussian,4,3,,0.5,stratified,100
53,gmm,gaussian,4,3,,1,random,100
53,gmm,gaussian,4,3,,1,kmeans++,100
53,gmm,gaussian,4,3,,1,hcm,100
53,gmm,gaussian,4,3,,1,uniform,100
53,gmm,gaussian,4,3,,1,stratified,72.1
54,gmm,gaussian,4,3,,2,random,99.9
54,gmm,gaussian,4,3,,2,kmeans++,99.9
54,gmm,gaussian,4,3,,2,hcm,99.9
54,gmm,gaussian,4,3,,2,uniform,99.9
54,gmm,gaussian,4,3,,2,stratified,99.9
55,gmm,gaussian,4,3,,2.5,random,99.7
55,gmm,gaussian,4,3,,2.5,kmeans++,99.7
55,gmm,gaussian,4,3,,2.5,hcm,99.7
55,gmm,gaussian,4,3,,2.5,uniform,99.7
55,gmm,gaussian,4,3,,2.5,stratified,99.7
56,gmm,gaussian,4,4,,0.5,random,71.2
56,gmm,gaussian,4,4,,0.5,kmeans++,100
56,gmm,gaussian,4,4,,0.5,hcm,100
56,gmm,gaussian,4,4,,0.5,uniform,100
56,gmm,gaussian,4,4,,0.5,stratified,100
57,gmm,gaussian,4,4,,1,random,100
57,gmm,gaussian,4,4,,1,kmeans++,100
57,gmm,gaussian,4,4,,1,hcm,100
57,gmm,gaussian,4,4,,1,uniform,100
57,gmm,gaussian,4,4,,1,stratified,100
58,gmm,gaussian,4,4,,2,random,100
58,gmm,gaussian,4,4,,2,kmeans++,100
58,gmm,gaussian,4,4,,2,hcm,100
58,gmm,gaussian,4,4,,2,uniform,100
58,gmm,gaussian,4,4,,2,stratified,100
59,gmm,gaussian,4,4,,2.5,random,99.9
59,gmm,gaussian,4,4,,2.5,kmeans++,99.9
59,gmm,gaussian,4,4,,2.5,hcm,99.9
59,gmm,gaussian,4,4,,2.5,uniform,99.9
59,gmm,gaussian,4,4,,2.5,stratified,99.9
60,gmm,gaussian,4,5,,0.5,random,56.5
60,gmm,gaussian,4,5,,0.5,kmeans++,100
60,gmm,gaussian,4,5,,0.5,hcm,100
60,gmm,gaussian,4,5,,0.5,uniform,100
60,gmm,gaussian,4,5,,0.5,stratified,100
61,gmm,gaussian,4,5,,1,random,57.8
61,gmm,gaussian,4,5,,1,kmeans++,100
61,gmm,gaussian,4,5,,1,hcm,100
61,gmm,gaussian,4,5,,1,uniform,100
61,gmm,gaussian,4,5,,1,stratified,100
62,gmm,gaussian,4,5,,2,random,78.5
62,gmm,gaussian,4,5,,2,kmeans++,100
62,gmm,gaussian,4,5,,2,hcm,100
62,gmm,gaussian,4,5,,2,uniform,100
62,gmm,gaussian,4,5,,2,stratified,100
63,gmm,gaussian,4,5,,2.5,random,78.6
63,gmm,gaussian,4,5,,2.5,kmeans++,99.7
63,gmm,gaussian,4,5,,2.5,hcm,99.7
