id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
154,gmm,gaussian,8,4,,2.0,random,75.4
155,gmm,gaussian,8,4,,2.5,random,78.8
156,gmm,gaussian,8,5,,0.5,random,71.5
157,gmm,gaussian,8,5,,1.0,random,74.3
158,gmm,gaussian,8,5,,2.0,random,76.8
159,gmm,gaussian,8,5,,2.5,random,76.7
160,gmm,gaussian,8,6,,0.5,random,57.9
161,gmm,gaussian,8,6,,1.0,random,62.0
162,gmm,gaussian,8,6,,2.0,random,63.800000000000004
163,gmm,gaussian,8,6,,2.5,random,82.69999999999999
164,gmm,gaussian,8,7,,0.5,random,100.0
165,gmm,gaussian,8,7,,1.0,random,100.0
166,gmm,gaussian,8,7,,2.0,random,84.0
167,gmm,gaussian,8,7,,2.5,random,83.6
168,gmm,gaussian,9,2,,0.5,random,100.0
169,gmm,gaussian,9,2,,1.0,random,100.0
170,gmm,gaussian,9,2,,2.0,random,100.0
171,gmm,gaussian,9,2,,2.5,random,100.0
172,gmm,gaussian,9,3,,0.5,random,52.7
173,gmm,gaussian,9,3,,1.0,random,54.6
174,gmm,gaussian,9,3,,2.0,random,59.4
175,gmm,gaussian,9,3,,2.5,random,54.6
176,gmm,gaussian,9,4,,0.5,random,100.0
177,gmm,gaussian,9,4,,1.0,random,100.0
178,gmm,gaussian,9,4,,2.0,random,100.0
179,gmm,gaussian,9,4,,2.5,random,100.0
180,gmm,gaussian,9,5,,0.5,random,72.1
181,gmm,gaussian,9,5,,1.0,random,75.9
182,gmm,gaussian,9,5,,2.0,random,100.0
183,gmm,gaussian,9,5,,2.5,random,99.7
184,gmm,gaussian,9,6,,0.5,random,56.699999999999996
185,gmm,gaussian,9,6,,1.0,random,57.599999999999994
186,gmm,gaussian,9,6,,2.0,random,59.199999999999996
187,gmm,gaussian,9,6,,2.5,random,57.9
188,gmm,gaussian,9,7,,0.5,random,80.2
189,gmm,gaussian,9,7,,1.0,random,80.2
190,gmm,gaussian,9,7,,2.0,random,80.10000000000001
191,gmm,gaussian,9,7,,2.5,random,80.2
192,gmm,gaussian,10,2,,0.5,random,100.0
193,gmm,gaussian,10,2,,1.0,random,100.0
194,gmm,gaussian,10,2,,2.0,random,100.0
195,gmm,gaussian,10,2,,2.5,random,99.9
196,gmm,gaussian,10,3,,0.5,random,100.0
197,gmm,gaussian,10,3,,1.0,random,100.0
198,gmm,gaussian,10,3,,2.0,random,100.0
199,gmm,gaussian,10,3,,2.5,random,100.0
200,gmm,gaussian,10,4,,0.5,random,70.0
201,gmm,gaussian,10,4,,1.0,random,70.3
202,gmm,gaussian,10,4,,2.0,random,69.39999999999999
203,gmm,gaussian,10,4,,2.5,random,69.39999999999999
204,gmm,gaussian,10,5,,0.5,random,71.7
205,gmm,gaussian,10,5,,1.0,random,74.7
206,gmm,gaussian,10,5,,2.0,random,76.3
207,gmm,gaussian,10,5,,2.5,random,76.9
208,gmm,gaussian,10,6,,0.5,random,76.1
209,gmm,gaussian,10,6,,1.0,random,79.5
210,gmm,gaussian,10,6,,2.0,random,79.5
211,gmm,gaussian,10,6,,2.5,random,80.5
212,gmm,gaussian,10,7,,0.5,random,81.8
213,gmm,gaussian,10,7,,1.0,random,84.5
214,gmm,gaussian,10,7,,2.0,random,84.89999999999999
215,gmm,gaussian,10,7,,2.5,random,85.0
216,gmm,iris,4,3,,,random,96.66666666666667
217,gmm,wine,13,3,,,random,76.40449438202246
218,gmm,breast_cancer,30,2,,,random,94.72759226713534
