id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
22,gmm,gaussian,2,7,,2.0,uniform,72.1
22,gmm,gaussian,2,7,,2.0,stratified,68.60000000000001
22,hc,gaussian,2,7,,2.0,,28.999999999999996
23,uofc,gaussian,2,7,5.0,2.5,,67.4
23,gmm,gaussian,2,7,,2.5,random,58.5
23,gmm,gaussian,2,7,,2.5,kmeans++,75.2
23,gmm,gaussian,2,7,,2.5,hcm,69.8
23,gmm,gaussian,2,7,,2.5,uniform,63.7
23,gmm,gaussian,2,7,,2.5,stratified,64.3
23,hc,gaussian,2,7,,2.5,,14.7
24,uofc,gaussian,2,8,10.0,0.5,,89.4
24,gmm,gaussian,2,8,,0.5,random,77.5
24,gmm,gaussian,2,8,,0.5,kmeans++,92.80000000000001
24,gmm,gaussian,2,8,,0.5,hcm,92.5
24,gmm,gaussian,2,8,,0.5,uniform,77.60000000000001
24,gmm,gaussian,2,8,,0.5,stratified,76.9
24,hc,gaussian,2,8,,0.5,,75.0
25,uofc,gaussian,2,8,6.0,1.0,,73.8
25,gmm,gaussian,2,8,,1.0,random,76.4
25,gmm,gaussian,2,8,,1.0,kmeans++,80.10000000000001
25,gmm,gaussian,2,8,,1.0,hcm,84.7
25,gmm,gaussian,2,8,,1.0,uniform,77.3
25,gmm,gaussian,2,8,,1.0,stratified,71.1
25,hc,gaussian,2,8,,1.0,,62.4
26,uofc,gaussian,2,8,5.0,2.0,,60.699999999999996
26,gmm,gaussian,2,8,,2.0,random,62.7
26,gmm,gaussian,2,8,,2.0,kmeans++,65.7
26,gmm,gaussian,2,8,,2.0,hcm,65.8
26,gmm,gaussian,2,8,,2.0,uniform,65.8
26,gmm,gaussian,2,8,,2.0,stratified,63.0
26,hc,gaussian,2,8,,2.0,,25.6
27,uofc,gaussian,2,8,5.0,2.5,,58.8
27,gmm,gaussian,2,8,,2.5,random,56.89999999999999
27,gmm,gaussian,2,8,,2.5,kmeans++,64.60000000000001
27,gmm,gaussian,2,8,,2.5,hcm,58.3
27,gmm,gaussian,2,8,,2.5,uniform,61.7
27,gmm,gaussian,2,8,,2.5,stratified,55.50000000000001
27,hc,gaussian,2,8,,2.5,,13.200000000000001
28,uofc,gaussian,2,9,10.0,0.5,,89.9
28,gmm,gaussian,2,9,,0.5,random,77.10000000000001
28,gmm,gaussian,2,9,,0.5,kmeans++,84.5
28,gmm,gaussian,2,9,,0.5,hcm,94.89999999999999
28,gmm,gaussian,2,9,,0.5,uniform,75.9
28,gmm,gaussian,2,9,,0.5,stratified,77.3
28,hc,gaussian,2,9,,0.5,,77.60000000000001
29,uofc,gaussian,2,9,7.0,1.0,,76.6
29,gmm,gaussian,2,9,,1.0,random,75.0
29,gmm,gaussian,2,9,,1.0,kmeans++,75.6
29,gmm,gaussian,2,9,,1.0,hcm,85.39999999999999
29,gmm,gaussian,2,9,,1.0,uniform,75.8
29,gmm,gaussian,2,9,,1.0,stratified,74.5
29,hc,gaussian,2,9,,1.0,,66.60000000000001
30,uofc,gaussian,2,9,6.0,2.0,,64.2
30,gmm,gaussian,2,9,,2.0,random,63.800000000000004
30,gmm,gaussian,2,9,,2.0,kmeans++,64.4
30,gmm,gaussian,2,9,,2.0,hcm,68.5
30,gmm,gaussian,2,9,,2.0,uniform,62.0
30,gmm,gaussian,2,9,,2.0,stratified,61.1
30,hc,gaussian,2,9,,2.0,,11.700000000000001
31,uofc,gaussian,2,9,6.0,2.5,,60.199999999999996
31,gmm,gaussian,2,9,,2.5,random,59.3
31,gmm,gaussian,2,9,,2.5,kmeans++,62.0
31,gmm,gaussian,2,9,,2.5,hcm,56.2
31,gmm,gaussian,2,9,,2.5,uniform,53.6
31,gmm,gaussian,2,9,,2.5,stratified,56.2
31,hc,gaussian,2,9,,2.5,,11.799999999999999
32,uofc,gaussian,2,10,9.0,0.5,,89.60000000000001
32,gmm,gaussian,2,10,,0.5,random,75.0
32,gmm,gaussian,2,10,,0.5,kmeans++,95.1
32,gmm,gaussian,2,10,,0.5,hcm,94.89999999999999
32,gmm,gaussian,2,10,,0.5,uniform,87.8
32,gmm,gaussian,2,10,,0.5,stratified,77.3
32,hc,gaussian,2,10,,0.5,,79.80000000000001
33,uofc,gaussian,2,10,9.0,1.0,,85.39999999999999
33,gmm,gaussian,2,10,,1.0,random,72.39999999999999
33,gmm,gaussian,2,10,,1.0,kmeans++,87.6
33,gmm,gaussian,2,10,,1.0,hcm,87.3
33,gmm,gaussian,2,10,,1.0,uniform,77.3
33,gmm,gaussian,2,10,,1.0,stratified,74.6
33,hc,gaussian,2,10,,1.0,,60.0
34,uofc,gaussian,2,10,6.0,2.0,,56.89999999999999
34,gmm,gaussian,2,10,,2.0,random,65.8
34,gmm,gaussian,2,10,,2.0,kmeans++,63.6
34,gmm,gaussian,2,10,,2.0,hcm,72.8
34,gmm,gaussian,2,10,,2.0,uniform,60.699999999999996
34,gmm,gaussian,2,10,,2.0,stratified,54.400000000000006
34,hc,gaussian,2,10,,2.0,,10.9
35,uofc,gaussian,2,10,6.0,2.5,,52.6
35,gmm,gaussian,2,10,,2.5,random,55.400000000000006
35,gmm,gaussian,2,10,,2.5,kmeans++,62.4
35,gmm,gaussian,2,10,,2.5,hcm,61.1
35,gmm,gaussian,2,10,,2.5,uniform,53.7
35,gmm,gaussian,2,10,,2.5,stratified,47.3
35,hc,gaussian,2,10,,2.5,,10.7
36,uofc,gaussian,3,2,2.0,0.5,,100.0
36,gmm,gaussian,3,2,,0.5,random,100.0
36,gmm,gaussian,3,2,,0.5,kmeans++,100.0
36,gmm,gaussian,3,2,,0.5,hcm,100.0
36,gmm,gaussian,3,2,,0.5,uniform,100.0
36,gmm,gaussian,3,2,,0.5,stratified,100.0
36,hc,gaussian,3,2,,0.5,,100.0
37,uofc,gaussian,3,2,2.0,1.0,,100.0
37,gmm,gaussian,3,2,,1.0,random,100.0
37,gmm,gaussian,3,2,,1.0,kmeans++,100.0
37,gmm,gaussian,3,2,,1.0,hcm,100.0
37,gmm,gaussian,3,2,,1.0,uniform,100.0
37,gmm,gaussian,3,2,,1.0,stratified,100.0
37,hc,gaussian,3,2,,1.0,,100.0
38,uofc,gaussian,3,2,2.0,2.0,,100.0
38,gmm,gaussian,3,2,,2.0,random,100.0
38,gmm,gaussian,3,2,,2.0,kmeans++,100.0
38,gmm,gaussian,3,2,,2.0,hcm,100.0
38,gmm,gaussian,3,2,,2.0,uniform,100.0
38,gmm,gaussian,3,2,,2.0,stratified,100.0
38,hc,gaussian,3,2,,2.0,,100.0
39,uofc,gaussian,3,2,2.0,2.5,,100.0
39,gmm,gaussian,3,2,,2.5,random,100.0
39,gmm,gaussian,3,2,,2.5,kmeans++,100.0
39,gmm,gaussian,3,2,,2.5,hcm,100.0
39,gmm,gaussian,3,2,,2.5,uniform,100.0
39,gmm,gaussian,3,2,,2.5,stratified,100.0
39,hc,gaussian,3,2,,2.5,,100.0
40,uofc,gaussian,3,3,4.0,0.5,,83.3
40,gmm,gaussian,3,3,,0.5,random,100.0
40,gmm,gaussian,3,3,,0.5,kmeans++,100.0
40,gmm,gaussian,3,3,,0.5,hcm,100.0
40,gmm,gaussian,3,3,,0.5,uniform,100.0
40,gmm,gaussian,3,3,,0.5,stratified,65.4
40,hc,gaussian,3,3,,0.5,,100.0
41,uofc,gaussian,3,3,4.0,1.0,,83.3
41,gmm,gaussian,3,3,,1.0,random,100.0
41,gmm,gaussian,3,3,,1.0,kmeans++,100.0
41,gmm,gaussian,3,3,,1.0,hcm,100.0
41,gmm,gaussian,3,3,,1.0,uniform,100.0
41,gmm,gaussian,3,3,,1.0,stratified,100.0
41,hc,gaussian,3,3,,1.0,,100.0
42,uofc,gaussian,3,3,2.0,2.0,,66.7
42,gmm,gaussian,3,3,,2.0,random,97.3
